THEME,THEME_GROUP
"Action comedy and silly heroics",Comedy
"Action-packed space and alien sagas",Action
"Adorable animals and heartwarming families",Family
"Adrenaline-fueled action and fast cars",Action
"Air pilot heroism and survival",War
"Amusing jokes and witty satire",Comedy
"Bloody vampire horror",Horror
"Bollywood emotional dramas",Romance
"Bravery in War",War
"Brutal, violent prison drama",Action
"Captivating relationships and charming romance",Romance
"Captivating vision and Shakespearean drama",Drama
"Catchy songs and hilarious musical comedy",Musical
"Challenging or sexual themes & twists",Political
"Charming romances and delightful chemistry",Romance
"Chilling experiments and classic monster horror",Horror
"Creepy, chilling, and terrifying horror",Horror
"Crime, drugs and gangsters",Crime
"Crude humor and satire",Comedy
"Dance rhythms and catchy tunes",Musical
"Dangerous technology and the apocalypse",Science Fiction
"Dazzling vocal performances and musicals",Musical
"Disastrous voyages and heroic survival",Action
"Dreamlike, quirky, and surreal storytelling",Science Fiction
"Emotional LGBTQ relationships",Drama
"Emotional and captivating fantasy storytelling",Science Fiction
"Emotional and touching family dramas",Drama
"Emotional life of renowned artists",Biography
"Emotional teen coming-of-age stories",Drama
"Enduring stories of family and marital drama",Drama
"Engaging, intense crime and casino drama",Drama
"Epic adventure and breathtaking battles",Action
"Epic heroes",Action
"Epic history and literature",Documentary
"Erotic relationships and desire",Romance
"Exciting spy thrillers with tense intrigue",Thriller
"Explosive and action-packed heroes vs. villains",Action
"Extreme gory horror and cannibalism",Horror
"Fairy-tale fantasy and enchanted magic",Science Fiction
"Faith and religion",Family
"Faith and spiritual journeys",Family
"Fantasy adventure, heroism, and swordplay",Science Fiction
"Fascinating, emotional stories and documentaries",Documentary
"Funny jokes and crude humor",Comedy
"Gags, jokes, and slapstick humor",Comedy
"Gory, gruesome, and slasher horror",Horror
"Gothic and eerie haunting horror",Horror
"Graphic violence and brutal revenge",Crime
"Gripping, intense violent crime",Crime
"Gritty crime and ruthless gangsters",Crime
"Heartbreaking and moving family drama",Drama
"Heists and thrilling action",Action
"High speed and special ops",Action
"Historical battles and epic heroism",War
"Holiday joy and heartwarming Christmas",Family
"Horror, the undead and monster classics",Horror
"Humanity and the world around us",Documentary
"Humanity's odyssey: earth and beyond",Documentary
"Imaginative space odysseys and alien encounters",Science Fiction
"Inspiring sports underdog stories",Sports
"Intense combat and martial arts",Action
"Intense political and terrorist thrillers",Thriller
"Intense violence and sexual transgression",Drama
"Intriguing and suspenseful murder mysteries",Thriller
"Kids' animated fun and adventure",Animation
"Laugh-out-loud relationship entanglements",Comedy
"Lavish dramas and sumptuous royalty",Drama
"Legendary musicians and stardom",Biography
"Military combat and heroic soldiers",War
"Monsters, aliens, sci-fi and the apocalypse",Science Fiction
"Moving relationship stories",Drama
"Nazis and World War II",War
"Noir and dark crime dramas",Crime
"Passion and romance",Romance
"Political drama, patriotism, and war",Political
"Politics and human rights",Political
"Politics, propaganda, and political documentaries",Political
"Powerful poetic and passionate drama",Drama
"Powerful stories of heartbreak and suffering",Drama
"Quirky and endearing relationships",Comedy
"Racism and the powerful fight for justice",Political
"Relationship comedy",Comedy
"Religious faith, sin, and forgiveness",Family
"Riveting political and presidential drama",Political
"Sci-fi horror, creatures, and aliens",Science Fiction
"Sci-fi monster and dinosaur adventures",Science Fiction
"Song and dance",Musical
"Spooky, scary comedy",Comedy
"Student coming-of-age challenges",Coming-of-Age
"Superheroes in action-packed battles with villains",Action
"Surreal and thought-provoking visions of life and death",Drama
"Survival horror and zombie carnage",Horror
"Suspenseful crime thrillers",Thriller
"Teen friendship and coming-of-age",Coming-of-Age
"Teen school antics and laughter",Comedy
"Terrifying, haunted, and supernatural horror",Horror
"Thought-provoking sci-fi action and future technology",Science Fiction
"Thrillers and murder mysteries",Thriller
"Touching and sentimental family stories",Drama
"Tragic sadness and captivating beauty",Drama
"Twisted dark psychological thriller",Thriller
"Underdog fighting and boxing stories",Sports
"Underdogs and coming of age",Coming-of-Age
"Violent action, guns, and crime",Crime
"Violent crime and drugs",Crime
"War and historical adventure",War
"Western frontier dramas with a touch of humor",Western
"Westerns",Western
"Wild west outlaws and gunfights",Western
